ID - for coordinates see .../geodata/owners/vegetationSamplingFen	Comment	Date	Fresh [g/0.09 m^2]	Dry [g/0.09 m^2]	Fresh [g/m^2]	Dry [g/m^2]	BWE [mm]	Height [cm]
21b		2019-06-07T00:00Z	93.4	14.7	1037.777778	163.3333333	965.2577778	9.5
22		2019-06-06T00:00Z	57.5	8.3	638.8888889	92.22222222	597.9422222	6
23		2019-06-06T00:00Z	196.1	15.1	2178.888889	167.7777778	2104.395556	23.5
24		2019-06-06T00:00Z	231.2	55.2	2568.888889	613.3333333	2296.568889	> 40
25		2019-06-06T00:00Z	80.5	20.9	894.4444444	232.2222222	791.3377778	11
26		2019-06-06T00:00Z	181.4	34.7	2015.555556	385.5555556	1844.368889	19.5
27		2019-06-06T00:00Z	278.6	61.8	3095.555556	686.6666667	2790.675556	42.5
28		2019-06-06T00:00Z	7.4	0.8	82.22222222	8.888888889	78.27555556	5.5
29		2019-06-06T00:00Z	70	13.1	777.7777778	145.5555556	713.1511111	9.5
30		2019-06-06T00:00Z	44.6	6.8	495.5555556	75.55555556	462.0088889	7.5
31		2019-06-06T00:00Z	69.9	8.2	776.6666667	91.11111111	736.2133333	6.5
32		2019-06-06T00:00Z	55.2	46.2	613.3333333	513.3333333	385.4133333	7.5
33		2019-06-06T00:00Z	37.2	6.9	413.3333333	76.66666667	379.2933333	6.5
34		2019-06-06T00:00Z	33.8	5.3	375.5555556	58.88888889	349.4088889	6
35		2019-06-06T00:00Z	37.6	13	417.7777778	144.4444444	353.6444444	6
36		2019-06-06T00:00Z	48.8	10.2	542.2222222	113.3333333	491.9022222	8.5
37		2019-06-06T00:00Z	46.8	5.3	520	58.88888889	493.8533333	8.5
38		2019-06-06T00:00Z	72	16.1	800	178.8888889	720.5733333	11
39		2019-06-06T00:00Z	42.3	10	470	111.1111111	420.6666667	4
40		2019-06-06T00:00Z	11	2.5	122.2222222	27.77777778	109.8888889	2
41		2019-06-06T00:00Z	253.8	33.9	2820	376.6666667	2652.76	38
42		2019-06-06T00:00Z	211.9	48.3	2354.444444	536.6666667	2116.164444	12.5
43		2019-06-06T00:00Z	38.1	13.9	423.3333333	154.4444444	354.76	4
44	Brache	2019-06-06T00:00Z	36.4	8.5	404.4444444	94.44444444	362.5111111	2
45		2019-06-06T00:00Z	56.9	9.8	632.2222222	108.8888889	583.8755556	4.5
46		2019-06-06T00:00Z	75.9	17.6	843.3333333	195.5555556	756.5066667	14
47	Litter	2019-06-06T00:00Z	125.4	77	1393.333333	855.5555556	1013.466667	
48	Litter	2019-06-06T00:00Z	169.5	98.5	1883.333333	1094.444444	1397.4	
49	Lichtung/Wald/Busch	2019-06-06T00:00Z	297.7	94.1	3307.777778	1045.555556	2843.551111	11
50		2019-06-06T00:00Z	155.9	22.1	1732.222222	245.5555556	1623.195556	19
51	Borstgras	2019-06-06T00:00Z	109.5	34.2	1216.666667	380	1047.946667	10.5
1		2019-07-17T00:00Z	63.4	12.5	704.4444444	138.8888889	642.7777778	12
2		2019-07-17T00:00Z	16.1	0.7	178.8888889	7.777777778	175.4355556	8
3		2019-07-17T00:00Z	85.7	27.3	952.2222222	303.3333333	817.5422222	17
4		2019-07-17T00:00Z	20.2	2.8	224.4444444	31.11111111	210.6311111	9
5		2019-07-17T00:00Z	75.2	20.5	835.5555556	227.7777778	734.4222222	15
6		2019-07-17T00:00Z	20.9	3.6	232.2222222	40	214.4622222	8
7		2019-07-17T00:00Z	139.3	17.5	1547.777778	194.4444444	1461.444444	27
8		2019-07-17T00:00Z	62.1	10.9	690	121.1111111	636.2266667	14
9		2019-07-17T00:00Z	38.3	9.2	425.5555556	102.2222222	380.1688889	17
10		2019-07-17T00:00Z	15	8.5	166.6666667	94.44444444	124.7333333	13
11		2019-07-17T00:00Z	36	16.2	400	180	320.08	11
12		2019-07-17T00:00Z	128.7	21.7	1430	241.1111111	1322.946667	25
13		2019-07-17T00:00Z	116.4	16.6	1293.333333	184.4444444	1211.44	18
14		2019-07-17T00:00Z	131.1	14.5	1456.666667	161.1111111	1385.133333	25
15	Litter	2019-07-17T00:00Z	401.5	93.3	4461.111111	1036.666667	4000.831111	60
16		2019-07-17T00:00Z	114.2	19.5	1268.888889	216.6666667	1172.688889	24
17		2019-07-17T00:00Z	35.5	5.6	394.4444444	62.22222222	366.8177778	9
18		2019-07-17T00:00Z	16.9	5.8	187.7777778	64.44444444	159.1644444	17
19		2019-07-17T00:00Z	12	3.7	133.3333333	41.11111111	115.08	10
20		2019-07-17T00:00Z	12.7	4.3	141.1111111	47.77777778	119.8977778	5
21		2019-07-17T00:00Z	29.3	6.3	325.5555556	70	294.4755556	6
22		2019-07-17T00:00Z	35.9	7	398.8888889	77.77777778	364.3555556	8
23		2019-07-17T00:00Z	286.7	101	3185.555556	1122.222222	2687.288889	83
24		2019-07-17T00:00Z	61.5	20.5	683.3333333	227.7777778	582.2	19
25		2019-07-17T00:00Z	112.6	37.8	1251.111111	420	1064.631111	47
26		2019-07-17T00:00Z	66.8	21.4	742.2222222	237.7777778	636.6488889	25
27		2019-07-17T00:00Z	222.1	78.7	2467.777778	874.4444444	2079.524444	60
28		2019-07-17T00:00Z	83.3	21.7	925.5555556	241.1111111	818.5022222	15
29		2019-07-17T00:00Z	99.3	46.1	1103.333333	512.2222222	875.9066667	67
30		2019-07-17T00:00Z	26.8	10.7	297.7777778	118.8888889	244.9911111	18
31		2019-07-17T00:00Z	47	10.5	522.2222222	116.6666667	470.4222222	24
32		2019-07-17T00:00Z	45.6	11.3	506.6666667	125.5555556	450.92	21
33		2019-07-17T00:00Z	50.6	18.2	562.2222222	202.2222222	472.4355556	16
34		2019-07-17T00:00Z	59.9	35	665.5555556	388.8888889	492.8888889	11
35		2019-07-17T00:00Z	83.6	27.1	928.8888889	301.1111111	795.1955556	23
36		2019-07-17T00:00Z	47.6	13.3	528.8888889	147.7777778	463.2755556	24
37		2019-07-17T00:00Z	32.8	5.5	364.4444444	61.11111111	337.3111111	18
38		2019-07-17T00:00Z	32.4	9.5	360	105.5555556	313.1333333	13
39		2019-07-17T00:00Z	55.6	27.8	617.7777778	308.8888889	480.6311111	17
40		2019-07-17T00:00Z	45.5	8.5	505.5555556	94.44444444	463.6222222	10
41		2019-07-17T00:00Z	67.1	17.6	745.5555556	195.5555556	658.7288889	18
42		2019-07-17T00:00Z	57	14.7	633.3333333	163.3333333	560.8133333	12
43		2019-07-17T00:00Z	55.7	16.4	618.8888889	182.2222222	537.9822222	13
44	Brache	2019-07-17T00:00Z	31.8	9.5	353.3333333	105.5555556	306.4666667	10
45		2019-07-17T00:00Z	80.6	24.7	895.5555556	274.4444444	773.7022222	23
46		2019-07-17T00:00Z	98.1	36.1	1090	401.1111111	911.9066667	29
47	Litter	2019-07-17T00:00Z	242.9	175	2698.888889	1944.444444	1835.555556	
48	Litter	2019-07-17T00:00Z	163	101	1811.111111	1122.222222	1312.844444	
49	Lichtung/Wald/Busch	2019-07-17T00:00Z	83.8	35.9	931.1111111	398.8888889	754.0044444	37
50		2019-07-17T00:00Z	55.2	19.1	613.3333333	212.2222222	519.1066667	15
51	Borstgras	2019-07-17T00:00Z	186.6	44.4	2073.333333	493.3333333	1854.293333	105
