lat	long	diameter	date	species	detailed_s
47.825288000000000	11.065450999999999	31	6.6.2019	spruce	no
47.824950999999999	11.066311000000001	21	6.6.2019	spruce	no
47.824522000000002	11.065460000000000	10	6.6.2019	ash	no
47.823672000000002	11.065480000000001	50	6.6.2019	spruce	no
47.823647999999999	11.064337000000000	41	6.6.2019	spruce	no
47.825828999999999	11.064996000000001	26	6.6.2019	ash	no
47.826036999999999	11.065042000000000	10	6.6.2019	oak	no
47.826692999999999	11.065652000000000	39	6.6.2019	spruce	no
47.826970000000003	11.065429999999999	25	6.6.2019	beech	no
47.828125999999997	11.066114000000001	33	6.6.2019	spruce	no
47.828682999999998	11.067133999999999	50	6.6.2019	alder	no
47.830655000000000	11.068650999999999	10	6.6.2019	alder	no
47.831079000000003	11.068136000000001	55	6.6.2019	spruce	no
47.831999000000003	11.067985999999999	56	6.6.2019	spruce	no
47.832296999999997	11.068137000000000	25	6.6.2019	alder	no
47.832425999999998	11.069091999999999	26	6.6.2019	alder	no
47.831809999999997	11.070264000000000	26	6.6.2019	spruce	no
47.830534000000000	11.070747000000001	20	6.6.2019	alder	no
47.828985000000003	11.069500000000000	24	6.6.2019	spruce	no
47.827736000000002	11.067361000000000	30	6.6.2019	spruce	no
47.827595000000002	11.066647000000000	15	6.6.2019	beech	no
47.826321000000000	11.066081000000001	25	6.6.2019	beech	yes
47.825197000000003	11.069582000000000	43	6.6.2019	birch	no
47.826990000000002	11.063630000000000	9	27.06.2019	mixed	no
47.826274800000000	11.065400300000000	9	27.06.2019	ash/(oak)	yes
47.826376300000000	11.065233100000000	9	27.06.2019	oak/ash	yes
47.825673600000002	11.065645399999999	9	27.06.2019	spruce	yes
47.825229999999998	11.064980000000000	9	27.06.2019	spruce	no
47.823629400000002	11.064326400000001	9	27.06.2019	spruce	yes
47.823895399999998	11.065230500000000	9	1.9.2019	spruce	yes
47.832082399999997	11.069090500000000	9	1.9.2019	spruce	yes
47.825631299999998	11.065314200000000	9	1.9.2019	spruce/pine	yes
47.828772999999998	11.066973600000001	9	1.9.2019	alder	yes
47.832564200000000	11.069115699999999	9	1.9.2019	alder	yes
47.826063499999997	11.064997999999999	9	1.9.2019	ash	yes
47.826280799999999	11.066390300000000	9	1.9.2019	beech/spruce	yes
47.824585599999999	11.065358399999999	9	1.9.2019	spruce/(beech)	yes
47.825266700000000	11.069784500000001	9	1.9.2019	birch	yes
