datetime	counts1	nsecs1	press1	temp_ext	relhum_ext	volt	hv	temp_ncat	moder_cph_filt
2019-06-03T20:00:04Z	1191.6	1200	916.3	20.7	41.4	11.7	1134.5	38.67	3574.8
2019-06-03T20:20:10Z	1192.7	1200	915.1	19.8	43.8	11.7	1137.0	37.56	3578.1
2019-06-03T20:40:13Z	1101.0	1200	917.5	19.8	46.7	11.7	1137.0	36.81	3303.0
2019-06-03T21:00:22Z	1126.4	1200	919.8	19.9	49.2	11.7	1137.0	36.06	3379.2
2019-06-03T21:20:24Z	1077.3	1200	917.7	18.6	54.6	11.7	1137.0	35.37	3231.9
2019-06-03T21:40:26Z	1238.4	1200	918.8	17.9	64.3	11.7	1132.0	34.62	3715.2
2019-06-03T22:00:28Z	1155.2	1200	944.8	17.2	74.0	11.7	1133.5	33.87	3465.6
2019-06-03T22:20:31Z	1147.2	1200	945.3	16.5	81.0	11.7	1135.5	33.09	3441.6
2019-06-03T22:40:38Z	1173.6	1200	945.3	16.3	85.1	11.7	1137.0	32.31	3520.8
2019-06-03T23:00:39Z	1133.7	1200	943.8	15.7	87.7	11.6	1137.0	31.56	3401.1
2019-06-03T23:20:42Z	1034.7	1200	942.3	15.2	90.5	11.6	1137.0	30.84	3104.1
2019-06-03T23:40:47Z	1098.2	1200	943.8	15.4	93.3	11.6	1137.0	30.15	3294.6
2019-06-04T00:00:51Z	1097.3	1200	942.7	15.1	93.4	11.6	1137.0	29.46	3291.9
2019-06-04T00:21:00Z	1139.1	1200	943.0	15.2	93.7	11.6	1137.0	28.84	3417.3
2019-06-04T00:41:03Z	1192.3	1200	941.4	14.8	92.9	11.6	1133.5	28.15	3576.9
2019-06-04T01:01:11Z	1163.7	1200	938.9	14.1	93.3	11.6	1133.5	27.53	3491.1
2019-06-04T01:21:13Z	1203.7	1200	938.4	13.8	95.5	11.6	1133.5	26.93	3611.1
2019-06-04T01:41:20Z	1237.0	1200	935.9	13.0	97.3	11.6	1133.5	26.34	3711.0
2019-06-04T02:01:24Z	1118.5	1200	936.1	12.9	98.2	11.6	1135.5	25.75	3355.5
2019-06-04T02:21:27Z	1118.2	1200	935.3	12.6	98.9	11.6	1137.0	25.15	3354.6
2019-06-04T02:41:30Z	1162.8	1200	934.3	12.2	99.5	11.6	1133.5	24.65	3488.4
2019-06-04T03:01:33Z	1158.2	1200	933.8	11.9	99.9	11.6	1137.0	24.06	3474.6
2019-06-04T03:21:45Z	1139.1	1200	934.2	11.9	100.0	11.6	1137.0	23.56	3417.3
2019-06-04T03:41:48Z	1162.8	1200	933.7	11.7	100.0	11.6	1133.5	23.06	3488.4
2019-06-04T04:01:51Z	1127.7	1200	932.9	11.4	100.0	11.6	1135.5	22.56	3383.1
2019-06-04T04:21:53Z	1132.4	1200	932.8	11.3	100.0	11.6	1135.5	22.06	3397.2
2019-06-04T04:42:00Z	1170.4	1200	933.1	11.3	100.0	11.6	1135.5	21.62	3511.2
2019-06-04T05:02:04Z	1184.6	1200	932.1	10.9	100.0	11.6	1133.5	21.18	3553.8
2019-06-04T05:22:06Z	1233.2	1200	932.5	10.9	100.0	11.6	1133.5	20.75	3699.6
2019-06-04T05:42:09Z	1249.4	1200	933.9	11.2	100.0	11.6	1133.5	20.34	3748.2
2019-06-04T06:02:20Z	1239.4	1200	936.1	11.7	100.0	11.6	1132.0	19.96	3718.2
2019-06-04T06:22:28Z	1149.4	1200	943.0	13.5	100.0	11.6	1134.0	19.68	3448.2
2019-06-04T06:42:32Z	1145.4	1200	957.5	17.6	99.8	11.6	1135.5	19.43	3436.2
2019-06-04T07:02:34Z	1136.1	1200	957.0	17.8	98.3	11.6	1133.5	19.37	3408.3
2019-06-04T07:22:35Z	1190.8	1200	969.1	21.0	95.1	11.6	1135.5	19.41	3572.4
2019-06-04T07:42:37Z	1204.5	1200	960.5	19.4	91.8	11.6	1132.0	19.62	3613.5
2019-06-04T08:02:45Z	1205.4	1200	975.3	23.3	87.1	11.6	1132.0	19.9	3616.2
2019-06-04T08:22:49Z	1177.8	1200	976.4	24.1	82.3	11.5	1134.0	20.28	3533.4
2019-06-04T08:42:54Z	1200.5	1200	971.9	23.7	78.3	11.6	1134.0	20.75	3601.5
2019-06-04T09:02:55Z	1174.4	1200	977.6	25.5	74.6	11.6	1132.0	21.34	3523.2
2019-06-04T09:22:58Z	1290.3	1200	980.0	26.7	70.7	11.6	1134.0	21.96	3870.9
2019-06-04T09:43:02Z	1176.3	1200	976.2	26.5	67.8	11.6	1132.0	22.65	3528.9
2019-06-04T10:03:04Z	1234.5	1200	980.8	28.2	65.2	11.6	1132.0	23.37	3703.5
2019-06-04T10:23:11Z	1253.4	1200	982.0	29.2	62.4	11.6	1134.0	24.12	3760.2
2019-06-04T10:43:20Z	1198.9	1200	975.1	28.2	60.3	11.6	1133.5	24.87	3596.7
2019-06-04T11:03:21Z	1196.7	1200	971.9	28.0	58.8	11.6	1132.0	25.75	3590.1
2019-06-04T11:23:28Z	1223.9	1200	972.3	28.6	57.5	11.6	1132.0	26.43	3671.7
2019-06-04T11:43:33Z	1156.5	1200	972.8	29.2	56.1	11.6	1135.5	27.15	3469.5
2019-06-04T12:03:37Z	1249.1	1200	971.7	29.4	54.9	11.6	1135.5	27.84	3747.3
2019-06-04T12:23:46Z	1191.7	1200	967.5	28.9	53.9	11.6	1135.5	28.43	3575.1
2019-06-04T12:43:49Z	1114.6	1200	972.9	30.6	52.9	11.6	1137.0	29.03	3343.8
2019-06-04T13:03:51Z	1228.8	1200	967.4	29.8	51.7	11.6	1134.0	29.62	3686.4
2019-06-04T13:23:55Z	1204.3	1200	966.2	29.9	50.9	11.6	1134.0	30.12	3612.9
2019-06-04T13:43:59Z	1173.2	1200	964.6	29.9	50.2	11.6	1135.5	30.56	3519.6
2019-06-04T14:04:02Z	1186.1	1200	962.9	29.9	49.4	10.2	1135.5	28.34	3558.3
2019-06-04T14:24:08Z	240.1	1200	961.3	29.7	48.9	11.9	1134.0	26.25	720.3
2019-06-05T10:40:07Z	773.2	1200	966.0	33.0	54.2	11.9	1134.0	26.69	2319.6
2019-06-05T11:07:21Z	1311.1	1200	962.5	32.8	51.6	11.9	1130.3	27.43	3933.3
2019-06-05T11:27:24Z	1226.0	1200	968.5	34.8	49.5	11.9	1135.5	28.46	3678.0
2019-06-05T11:47:30Z	737.6	1200	961.1	33.5	48.4	11.9	1137.0	29.19	2212.8
2019-06-05T12:07:31Z	1235.2	1200	947.8	30.6	47.9	11.9	1135.5	30.0	3705.6
2019-06-05T12:27:32Z	1217.6	1200	945.3	30.0	48.0	11.9	1135.5	30.87	3652.8
2019-06-05T12:47:39Z	1320.9	1200	947.3	30.6	48.0	11.9	1132.0	31.56	3962.7
2019-06-05T13:07:40Z	1246.2	1200	948.0	30.9	47.7	11.9	1132.0	32.06	3738.6
2019-06-05T13:27:43Z	1214.9	1200	948.7	31.2	47.0	11.9	1135.5	32.53	3644.7
2019-06-05T13:47:45Z	1206.5	1200	949.9	31.7	46.4	11.9	1132.6	33.0	3619.5
2019-06-05T14:07:53Z	1243.6	1200	945.6	30.8	46.2	11.9	1135.5	33.43	3730.8
2019-06-05T14:28:03Z	1284.0	1200	946.0	31.0	45.9	11.9	1132.0	33.75	3852.0
2019-06-05T14:48:06Z	1231.7	1200	948.8	31.8	45.4	11.9	1134.0	34.0	3695.1
2019-06-05T15:08:07Z	1241.7	1200	946.2	31.4	44.6	12.0	1135.5	34.25	3725.1
2019-06-05T15:28:11Z	1328.4	1200	946.5	31.6	43.8	11.9	1130.5	34.59	3985.2
2019-06-05T15:48:14Z	1216.1	1200	946.4	31.7	43.0	11.9	1132.6	34.95	3648.3
2019-06-05T16:08:16Z	1251.9	1200	946.1	31.8	42.2	11.9	1135.5	35.37	3755.7
2019-06-05T16:28:19Z	1304.5	1200	946.0	32.0	41.2	11.9	1134.0	35.65	3913.5
2019-06-05T16:48:20Z	1271.4	1200	946.8	32.3	40.6	11.9	1134.0	35.93	3814.2
2019-06-05T17:08:23Z	1240.1	1200	944.7	32.0	40.2	11.9	1133.6	36.21	3720.3
2019-06-05T17:28:24Z	1288.4	1200	943.2	31.7	39.7	11.9	1134.0	36.56	3865.2
2019-06-05T17:48:31Z	1272.4	1200	942.6	31.7	39.4	11.9	1130.0	36.87	3817.2
2019-06-05T18:08:33Z	1218.1	1200	942.4	31.7	38.9	11.9	1137.0	37.12	3654.3
2019-06-05T18:28:37Z	1298.3	1200	937.5	30.6	38.6	11.9	1135.5	37.34	3894.9
2019-06-05T18:48:41Z	1205.4	1200	936.5	30.3	38.8	11.9	1137.0	37.53	3616.2
2019-06-05T19:08:45Z	1276.9	1200	932.6	29.2	39.2	11.9	1135.5	37.65	3830.7
2019-06-05T19:28:53Z	1338.4	1200	932.0	29.0	39.7	11.9	1132.0	37.75	4015.2
2019-06-05T19:49:00Z	1251.0	1200	927.5	27.6	40.3	11.9	1132.0	37.75	3753.0
2019-06-05T20:09:05Z	1289.0	1200	916.2	24.4	41.2	11.9	1135.5	37.62	3867.0
2019-06-05T20:29:10Z	1321.9	1200	911.4	22.6	42.8	11.9	1132.0	37.34	3965.7
2019-06-05T20:49:21Z	1188.2	1200	908.0	21.2	45.4	11.9	1134.0	36.96	3564.6
2019-06-05T21:09:25Z	1304.5	1200	906.5	20.2	48.6	11.9	1134.0	36.46	3913.5
2019-06-05T21:29:26Z	1196.3	1200	906.0	19.4	52.3	11.9	1137.0	35.75	3588.9
2019-06-05T21:49:30Z	1174.5	1200	908.2	19.4	55.6	11.9	1137.0	35.11	3523.5
2019-06-05T22:09:37Z	1246.4	1200	909.0	19.2	57.9	11.9	1135.5	34.65	3739.2
2019-06-05T22:29:41Z	1191.8	1200	908.0	18.4	60.2	11.9	1137.0	34.0	3575.4
2019-06-05T22:49:44Z	1342.3	1200	908.7	18.1	63.1	11.9	1132.6	33.14	4026.9
2019-06-05T23:09:54Z	1284.4	1200	910.1	18.0	66.3	11.9	1135.5	32.34	3853.2
2019-06-05T23:29:59Z	1299.2	1200	910.9	17.7	68.8	11.9	1135.5	31.71	3897.6
2019-06-05T23:50:04Z	1235.4	1200	910.0	17.1	71.0	11.9	1134.0	31.09	3706.2
2019-06-06T00:10:07Z	1267.6	1200	911.7	17.0	73.7	11.9	1134.0	30.46	3802.8
2019-06-06T00:30:09Z	1355.0	1200	914.4	17.4	75.2	11.9	1133.5	29.84	4065.0
2019-06-06T00:50:13Z	1249.9	1200	912.7	16.7	75.4	11.9	1137.0	29.44	3749.7
2019-06-06T01:10:19Z	1280.6	1200	908.6	15.3	77.1	11.9	1135.5	29.03	3841.8
2019-06-06T01:30:24Z	1343.7	1200	911.1	15.4	79.9	11.9	1135.5	28.5	4031.1
2019-06-06T01:50:33Z	1344.2	1200	908.7	14.4	81.7	11.9	1134.0	27.79	4032.6
2019-06-06T02:10:34Z	821.4	1200	911.5	14.6	83.9	11.9	1134.0	27.09	2464.2
2019-06-06T02:30:39Z	1300.7	1200	914.5	15.0	84.3	11.8	1134.0	26.59	3902.1
2019-06-06T02:50:44Z	1256.0	1200	914.7	14.7	84.3	11.8	1133.5	26.06	3768.0
2019-06-06T03:10:48Z	1232.5	1200	923.9	16.8	83.2	11.8	1135.5	25.62	3697.5
2019-06-06T03:30:49Z	1272.3	1200	927.5	17.7	80.3	11.8	1135.5	25.15	3816.9
2019-06-06T03:50:54Z	1141.6	1200	929.1	18.1	77.9	11.8	1135.5	24.84	3424.8
2019-06-06T04:11:01Z	1242.1	1200	928.6	18.0	76.2	11.8	1134.0	24.53	3726.3
2019-06-06T04:31:05Z	1252.5	1200	928.4	17.8	75.6	11.8	1134.0	24.25	3757.5
2019-06-06T04:51:07Z	1273.3	1200	927.7	17.5	75.5	11.8	1134.0	24.0	3819.9
2019-06-06T05:11:10Z	1257.5	1200	928.0	17.4	76.0	11.8	1135.5	23.78	3772.5
2019-06-06T05:31:14Z	1294.1	1200	928.6	17.4	77.0	11.8	1134.0	23.59	3882.3
2019-06-06T05:51:16Z	1209.9	1200	928.5	17.2	78.0	11.8	1134.0	23.43	3629.7
2019-06-06T06:11:18Z	1223.2	1200	932.2	17.9	78.5	11.8	1134.0	23.28	3669.6
2019-06-06T06:31:21Z	1246.4	1200	941.2	20.2	77.4	11.8	1135.5	23.15	3739.2
2019-06-06T06:51:25Z	1167.4	1200	944.3	21.1	75.2	11.8	1134.0	23.12	3502.2
2019-06-06T07:11:30Z	1237.0	1200	932.8	18.3	74.2	11.8	1133.5	23.19	3711.0
2019-06-06T07:31:36Z	1289.0	1200	931.2	17.8	74.3	11.8	1135.5	23.19	3867.0
2019-06-06T07:51:46Z	1222.9	1200	935.4	18.8	74.0	11.8	1132.0	23.21	3668.7
2019-06-06T08:11:49Z	1204.3	1200	940.1	19.9	73.0	11.8	1134.0	23.28	3612.9
2019-06-06T08:31:53Z	1279.9	1200	940.1	20.0	71.6	11.8	1134.0	23.37	3839.7
2019-06-06T08:52:00Z	1208.3	1200	942.0	20.5	70.5	11.8	1132.0	23.46	3624.9
2019-06-06T09:12:05Z	1201.4	1200	939.3	19.9	69.5	11.8	1134.0	23.59	3604.2
2019-06-06T09:32:09Z	1239.4	1200	938.4	19.6	69.0	11.8	1132.0	23.71	3718.2
2019-06-06T09:52:12Z	1209.9	1200	941.4	20.4	68.6	11.8	1134.0	23.84	3629.7
2019-06-06T10:12:16Z	1201.4	1200	946.6	21.7	67.8	11.8	1134.0	23.96	3604.2
2019-06-06T10:32:18Z	1245.5	1200	949.6	22.7	66.4	11.8	1133.5	24.15	3736.5
2019-06-06T10:52:20Z	1135.3	1200	952.8	23.6	65.0	11.8	1134.0	24.37	3405.9
2019-06-06T11:12:26Z	1277.0	1200	948.3	22.8	63.7	11.8	1134.0	24.65	3831.0
2019-06-06T11:32:32Z	1161.7	1200	943.3	21.5	62.8	10.2	1134.0	24.34	3485.1
2019-06-06T11:52:35Z	896.1	1200	940.0	20.7	62.4	11.8	1134.0	24.55	2688.3
2019-06-06T13:20:46Z	1190.1	1200	943.4	21.4	62.7	11.8	1134.0	25.0	3570.3
2019-06-06T13:40:51Z	1228.8	1200	942.5	21.2	62.6	11.8	1134.0	25.4	3686.4
2019-06-06T14:00:57Z	1143.5	1200	937.7	20.0	62.6	11.8	1135.5	25.75	3430.5
