rec_id	datetime	press1	temp1	relhum1	volt	counts1	nsecs1	counts2	nsecs2	temp_ext	relhum_ext	moder_cph_filt
1	2019-05-14T13:45:00Z	953.4	11.9	62.9	13.3	27	50	21	51	nan	nan	nan
2	2019-05-14T14:04:00Z	953.5	14.0	60.0	13.4	589	1140	352	1139	nan	nan	1860.0
3	2019-05-14T14:24:00Z	953.0	13.0	57.1	13.7	654	1200	362	1200	nan	nan	1962.0
4	2019-05-14T14:44:00Z	952.8	13.0	59.6	13.7	628	1200	412	1200	nan	nan	1884.0
5	2019-05-14T15:04:00Z	952.5	12.4	57.7	13.5	613	1200	377	1200	nan	nan	1839.0
6	2019-05-14T15:24:00Z	952.2	12.4	60.4	13.5	628	1200	366	1200	nan	nan	1884.0
7	2019-05-14T15:44:00Z	952.2	13.6	62.4	13.4	645	1200	334	1200	nan	nan	1935.0
8	2019-05-14T16:04:00Z	952.1	14.3	61.0	13.4	645	1200	374	1200	nan	nan	1935.0
9	2019-05-14T16:24:00Z	952.7	13.0	52.4	13.2	623	1200	378	1200	nan	nan	1869.0
10	2019-05-14T16:44:00Z	952.3	11.3	52.8	13.1	638	1200	377	1200	nan	nan	1914.0
11	2019-05-14T17:04:00Z	952.3	10.2	54.0	13.0	656	1200	364	1200	nan	nan	1968.0
12	2019-05-14T17:24:00Z	952.5	9.6	54.7	12.9	641	1200	369	1200	nan	nan	1923.0
13	2019-05-14T17:44:00Z	952.8	9.2	55.1	12.8	641	1200	385	1200	nan	nan	1923.0
14	2019-05-14T18:04:00Z	952.6	8.8	55.2	12.8	610	1200	368	1200	nan	nan	1830.0
15	2019-05-14T18:24:00Z	952.6	8.4	55.3	12.7	645	1200	375	1200	nan	nan	1935.0
16	2019-05-14T18:44:00Z	952.6	7.8	54.7	12.7	605	1200	372	1200	nan	nan	1815.0
17	2019-05-14T19:04:00Z	952.5	7.2	55.1	12.7	613	1200	388	1200	nan	nan	1839.0
18	2019-05-14T19:24:00Z	952.5	6.9	55.5	12.7	648	1200	358	1200	nan	nan	1944.0
19	2019-05-14T19:44:00Z	952.4	6.5	55.5	12.7	594	1200	393	1200	nan	nan	1782.0
20	2019-05-14T20:04:00Z	952.3	6.2	55.9	12.7	604	1200	352	1200	nan	nan	1812.0
21	2019-05-14T20:24:00Z	952.3	6.2	56.9	12.7	622	1200	373	1200	nan	nan	1866.0
22	2019-05-14T20:44:00Z	952.3	6.2	57.5	12.7	577	1200	368	1200	nan	nan	1731.0
23	2019-05-14T21:04:00Z	952.3	6.3	57.9	12.7	575	1200	372	1200	nan	nan	1725.0
24	2019-05-14T21:24:00Z	952.3	6.3	58.2	12.7	625	1200	341	1200	nan	nan	1875.0
25	2019-05-14T21:44:00Z	952.3	6.4	58.6	12.7	658	1200	376	1200	nan	nan	1974.0
26	2019-05-14T22:04:00Z	952.2	6.5	58.7	12.7	584	1200	363	1200	nan	nan	1752.0
27	2019-05-14T22:24:00Z	952.0	6.5	58.9	12.7	628	1200	352	1200	nan	nan	1884.0
28	2019-05-14T22:44:00Z	951.9	6.5	58.9	12.7	662	1200	375	1200	nan	nan	1986.0
29	2019-05-14T23:04:00Z	951.8	6.2	58.6	12.7	614	1200	367	1200	nan	nan	1842.0
30	2019-05-14T23:24:00Z	951.8	6.0	58.7	12.7	641	1200	351	1200	nan	nan	1923.0
31	2019-05-14T23:44:00Z	951.5	5.9	58.9	12.7	585	1200	401	1200	nan	nan	1755.0
32	2019-05-15T00:04:00Z	951.4	5.8	59.2	12.7	637	1200	394	1200	nan	nan	1911.0
33	2019-05-15T00:24:00Z	951.3	5.8	59.5	12.7	590	1200	414	1200	nan	nan	1770.0
34	2019-05-15T00:44:00Z	951.1	5.7	59.6	12.7	612	1200	398	1200	nan	nan	1836.0
35	2019-05-15T01:04:00Z	950.8	5.6	59.6	12.7	625	1200	367	1200	nan	nan	1875.0
36	2019-05-15T01:24:00Z	950.6	5.5	59.7	12.7	614	1200	353	1200	nan	nan	1842.0
37	2019-05-15T01:44:00Z	950.5	5.5	59.9	12.7	585	1200	371	1200	nan	nan	1755.0
38	2019-05-15T02:04:00Z	950.3	5.4	60.2	12.7	626	1200	384	1200	nan	nan	1878.0
39	2019-05-15T02:24:00Z	950.2	5.4	60.3	12.7	574	1200	361	1200	nan	nan	1722.0
40	2019-05-15T02:44:00Z	950.1	5.4	60.5	12.7	643	1200	406	1200	nan	nan	1929.0
41	2019-05-15T03:04:00Z	950.0	5.4	60.6	12.7	659	1200	395	1200	nan	nan	1977.0
42	2019-05-15T03:24:00Z	950.0	5.4	60.8	12.7	652	1200	422	1200	nan	nan	1956.0
43	2019-05-15T03:44:00Z	949.9	5.4	60.8	12.7	634	1200	376	1200	nan	nan	1902.0
44	2019-05-15T04:04:00Z	949.9	5.4	61.0	12.7	647	1200	393	1200	nan	nan	1941.0
45	2019-05-15T04:24:00Z	949.8	5.4	61.1	12.7	703	1201	355	1200	nan	nan	2107.2
46	2019-05-15T04:44:00Z	949.7	5.4	61.3	12.7	616	1200	374	1200	nan	nan	1848.0
47	2019-05-15T05:04:00Z	949.7	5.4	61.5	12.7	620	1200	407	1200	nan	nan	1860.0
48	2019-05-15T05:24:00Z	949.6	5.5	61.7	12.7	609	1200	394	1200	nan	nan	1827.0
49	2019-05-15T05:44:00Z	949.6	5.6	61.9	12.7	664	1200	374	1200	nan	nan	1992.0
50	2019-05-15T06:04:00Z	949.7	5.6	62.0	12.7	646	1200	403	1200	nan	nan	1938.0
51	2019-05-15T06:24:00Z	949.7	5.7	62.2	12.7	615	1200	340	1200	nan	nan	1845.0
52	2019-05-15T06:44:00Z	949.8	5.8	62.4	12.7	629	1200	365	1200	nan	nan	1887.0
53	2019-05-15T07:04:00Z	949.9	5.9	62.5	12.7	646	1200	370	1200	nan	nan	1938.0
54	2019-05-15T07:24:00Z	949.9	6.0	62.7	12.7	597	1201	412	1200	nan	nan	1789.5
55	2019-05-15T07:44:00Z	950.0	6.1	62.8	12.7	642	1200	381	1200	nan	nan	1926.0
56	2019-05-15T08:04:00Z	950.0	6.2	62.9	12.7	629	1200	370	1200	nan	nan	1887.0
57	2019-05-15T08:24:00Z	950.1	6.3	63.0	12.7	586	1200	411	1200	nan	nan	1758.0
58	2019-05-15T08:44:00Z	950.1	6.4	63.1	12.7	605	1200	382	1200	nan	nan	1815.0
59	2019-05-15T09:04:00Z	950.0	6.5	63.2	12.7	672	1200	362	1200	nan	nan	2016.0
60	2019-05-15T09:24:00Z	950.0	6.5	63.2	12.8	631	1200	387	1200	nan	nan	1893.0
61	2019-05-15T09:44:00Z	949.9	6.7	63.7	12.9	603	1200	386	1200	nan	nan	1809.0
62	2019-05-15T10:04:00Z	949.9	7.1	64.4	12.9	619	1200	420	1200	nan	nan	1857.0
63	2019-05-15T10:24:00Z	949.8	7.4	64.3	12.9	607	1200	361	1200	nan	nan	1821.0
64	2019-05-15T10:44:00Z	949.7	7.8	64.9	13.1	641	1200	391	1200	nan	nan	1923.0
65	2019-05-15T11:04:00Z	949.5	8.5	65.9	13.2	677	1200	409	1200	nan	nan	2031.0
66	2019-05-15T11:24:00Z	949.5	9.0	65.7	13.3	619	1200	359	1200	nan	nan	1857.0
67	2019-05-15T11:44:00Z	949.4	9.5	65.9	13.4	604	1200	390	1200	nan	nan	1812.0
68	2019-05-15T12:04:00Z	949.4	9.9	65.4	13.4	619	1200	381	1200	nan	nan	1857.0
69	2019-05-15T12:24:00Z	949.3	10.2	65.0	13.4	668	1200	383	1200	nan	nan	2004.0
70	2019-05-15T12:44:00Z	949.3	10.5	65.0	13.5	654	1200	388	1200	nan	nan	1962.0
71	2019-05-15T13:04:00Z	949.3	10.8	64.9	13.5	598	1200	388	1200	nan	nan	1794.0
72	2019-05-15T13:24:00Z	949.1	10.9	64.4	13.5	633	1200	406	1200	nan	nan	1899.0
73	2019-05-15T13:44:00Z	949.0	11.1	64.3	13.5	617	1200	393	1200	nan	nan	1851.0
74	2019-05-15T14:04:00Z	948.9	11.3	64.0	13.4	616	1200	380	1200	nan	nan	1848.0
75	2019-05-15T14:24:00Z	948.8	11.2	63.4	13.3	615	1200	416	1200	nan	nan	1845.0
76	2019-05-15T14:44:00Z	948.7	11.1	63.4	13.3	639	1200	379	1200	nan	nan	1917.0
77	2019-05-15T15:04:00Z	948.6	11.0	63.5	13.3	640	1200	406	1200	nan	nan	1920.0
78	2019-05-15T15:24:00Z	948.6	11.1	63.5	13.3	591	1200	360	1200	nan	nan	1773.0
79	2019-05-15T15:44:00Z	948.6	11.0	63.2	13.3	602	1200	407	1200	nan	nan	1806.0
80	2019-05-15T16:04:00Z	948.5	10.9	62.9	13.2	634	1200	415	1200	nan	nan	1902.0
81	2019-05-15T16:24:00Z	948.5	10.8	62.8	13.1	582	1200	408	1200	nan	nan	1746.0
82	2019-05-15T16:44:00Z	948.5	10.6	62.5	13.1	650	1200	385	1200	nan	nan	1950.0
83	2019-05-15T17:04:00Z	948.4	10.3	62.2	13.0	632	1200	383	1200	nan	nan	1896.0
84	2019-05-15T17:24:00Z	948.4	10.1	62.0	13.0	663	1200	321	1200	nan	nan	1989.0
85	2019-05-15T17:44:00Z	948.5	9.8	61.8	12.9	643	1200	386	1200	nan	nan	1929.0
86	2019-05-15T18:04:00Z	948.4	9.5	61.6	12.9	640	1200	381	1200	nan	nan	1920.0
87	2019-05-15T18:24:00Z	948.4	9.2	61.4	12.9	640	1200	370	1200	nan	nan	1920.0
88	2019-05-15T18:44:00Z	948.4	8.9	61.2	12.8	657	1200	386	1200	nan	nan	1971.0
89	2019-05-15T19:04:00Z	948.5	8.6	61.2	12.8	651	1200	396	1200	nan	nan	1953.0
90	2019-05-15T19:24:00Z	948.5	8.3	61.2	12.8	602	1200	349	1200	nan	nan	1806.0
91	2019-05-15T19:44:00Z	948.6	8.1	61.3	12.8	645	1200	394	1200	nan	nan	1935.0
92	2019-05-15T20:04:00Z	948.4	8.0	61.4	12.7	640	1200	354	1200	nan	nan	1920.0
93	2019-05-15T20:24:00Z	948.3	7.8	61.5	12.7	678	1200	358	1200	nan	nan	2034.0
94	2019-05-15T20:44:00Z	948.1	7.6	61.4	12.7	593	1200	380	1200	nan	nan	1779.0
95	2019-05-15T21:04:00Z	948.0	7.4	61.4	12.7	635	1200	336	1200	nan	nan	1905.0
96	2019-05-15T21:24:00Z	947.9	7.2	61.0	12.7	638	1200	393	1200	nan	nan	1914.0
97	2019-05-15T21:44:00Z	947.9	6.9	61.1	12.7	608	1200	376	1200	nan	nan	1824.0
98	2019-05-15T22:04:00Z	947.6	6.8	61.6	12.7	634	1200	380	1200	nan	nan	1902.0
99	2019-05-15T22:24:00Z	947.5	6.7	61.8	12.7	626	1200	380	1200	nan	nan	1878.0
100	2019-05-15T22:44:00Z	947.2	6.7	61.9	12.7	650	1201	429	1200	nan	nan	1948.4
101	2019-05-15T23:04:00Z	947.1	6.5	61.7	12.7	636	1200	395	1200	nan	nan	1908.0
102	2019-05-15T23:24:00Z	946.8	6.1	60.7	12.7	659	1200	399	1200	nan	nan	1977.0
103	2019-05-15T23:44:00Z	946.6	5.6	60.3	12.7	627	1200	388	1200	nan	nan	1881.0
104	2019-05-16T00:04:00Z	946.3	5.2	60.6	12.7	684	1200	407	1200	nan	nan	2052.0
105	2019-05-16T00:24:00Z	946.1	4.9	60.9	12.7	619	1200	368	1200	nan	nan	1857.0
106	2019-05-16T00:44:00Z	945.8	4.8	61.3	12.7	612	1200	431	1200	nan	nan	1836.0
107	2019-05-16T01:04:00Z	945.6	4.8	61.6	12.7	654	1200	412	1200	nan	nan	1962.0
108	2019-05-16T01:24:00Z	945.4	4.7	61.9	12.7	664	1200	385	1200	nan	nan	1992.0
109	2019-05-16T01:44:00Z	945.2	4.6	61.6	12.7	629	1201	400	1200	nan	nan	1885.4
110	2019-05-16T02:04:00Z	945.0	4.3	61.3	12.7	618	1200	409	1200	nan	nan	1854.0
111	2019-05-16T02:24:00Z	944.8	4.2	61.8	12.7	632	1200	407	1200	nan	nan	1896.0
112	2019-05-16T02:44:00Z	944.4	4.0	61.4	12.7	662	1200	396	1200	nan	nan	1986.0
113	2019-05-16T03:04:00Z	944.1	3.5	60.7	12.7	684	1200	409	1200	nan	nan	2052.0
114	2019-05-16T03:24:00Z	944.1	3.1	60.5	12.6	624	1200	384	1200	nan	nan	1872.0
115	2019-05-16T03:44:00Z	943.9	3.0	61.6	12.6	676	1200	389	1200	nan	nan	2028.0
116	2019-05-16T04:04:00Z	943.8	3.3	62.8	12.6	643	1200	423	1200	nan	nan	1929.0
117	2019-05-16T04:24:00Z	943.8	3.8	63.9	12.7	650	1200	401	1200	nan	nan	1950.0
118	2019-05-16T04:44:00Z	943.7	4.4	64.9	12.7	635	1201	379	1200	nan	nan	1903.4
119	2019-05-16T05:04:00Z	943.8	4.9	65.3	12.7	629	1200	417	1200	nan	nan	1887.0
120	2019-05-16T05:24:00Z	943.9	5.4	65.3	12.7	607	1200	399	1200	nan	nan	1821.0
121	2019-05-16T05:44:00Z	943.9	5.7	65.1	12.7	658	1200	402	1200	nan	nan	1974.0
122	2019-05-16T06:04:00Z	943.9	6.0	65.2	12.7	730	1200	376	1200	nan	nan	2190.0
