datetime	counts1	nsecs1	press1	temp_ext	relhum_ext	volt	hv	temp_ncat	moder_cph_filt
2019-05-14T14:34:05Z	578	1200	957.6	17.8	39.5	12.1	1266.4	16.4	nan
2019-05-14T14:54:10Z	566	1200	957.4	16.4	40.4	12.1	1266.2	16.7	nan
2019-05-14T15:14:14Z	581	1200	956.9	16.0	42.9	12.1	1268.4	16.7	nan
2019-05-14T15:34:33Z	609	1200	956.4	19.8	41.2	12.1	1267.0	16.7	nan
2019-05-14T15:54:52Z	549	1200	956.5	20.7	40.2	12.1	1268.7	16.7	nan
2019-05-14T16:14:55Z	560	1200	956.2	17.8	36.6	12.1	1268.0	16.9	nan
2019-05-14T16:35:58Z	426	1200	956.0	12.8	45.3	11.9	1264.0	16.8	nan
2019-05-14T16:59:17Z	571	1200	955.6	17.5	40.4	12.8	1266.0	16.5	nan
2019-05-14T17:19:21Z	570	1200	955.5	20.4	37.1	12.7	1263.0	16.6	nan
2019-05-14T17:39:25Z	496	1200	551.8	8.8	100.0	12.4	1265.5	16.2	nan
2019-05-14T21:10:16Z	584	1200	551.8	8.8	100.0	12.7	1271.7	12.7	nan
2019-05-14T21:30:17Z	575	1200	551.8	8.8	100.0	12.7	1266.5	12.4	nan
2019-05-14T21:50:33Z	520	1200	551.8	8.8	100.0	12.7	1266.9	12.1	nan
2019-05-14T22:10:59Z	600	1200	551.8	8.8	100.0	12.7	1265.3	11.8	nan
2019-05-14T22:31:18Z	597	1200	551.8	8.8	100.0	12.7	1267.8	11.6	nan
2019-05-14T22:51:52Z	531	1200	551.8	8.8	100.0	12.7	1266.8	11.4	nan
2019-05-14T23:11:55Z	595	1200	551.8	8.8	100.0	12.7	1266.5	11.2	nan
2019-05-14T23:31:59Z	599	1200	551.8	8.8	100.0	12.7	1264.3	11.0	nan
2019-05-14T23:52:03Z	552	1200	551.8	8.8	100.0	12.7	1266.5	10.8	nan
2019-05-15T00:12:06Z	611	1200	551.8	8.8	100.0	12.6	1265.9	10.6	nan
2019-05-15T00:32:10Z	581	1200	551.8	8.8	100.0	12.6	1267.7	10.4	nan
2019-05-15T00:52:14Z	559	1200	551.8	8.8	100.0	12.6	1266.9	10.3	nan
2019-05-15T01:12:17Z	544	1200	551.8	8.8	100.0	12.6	1267.8	10.1	nan
2019-05-15T01:32:21Z	573	1200	551.8	8.8	100.0	12.6	1266.5	10.0	nan
2019-05-15T01:52:24Z	565	1200	551.8	8.8	100.0	12.6	1266.5	9.8	nan
2019-05-15T02:12:28Z	624	1200	551.8	8.8	100.0	12.6	1263.9	9.7	nan
2019-05-15T02:32:32Z	585	1200	551.8	8.8	100.0	12.6	1265.0	9.6	nan
2019-05-15T02:52:36Z	638	1200	551.8	8.8	100.0	12.6	1268.0	9.5	nan
2019-05-15T03:12:39Z	596	1200	551.8	8.8	100.0	12.6	1266.0	9.3	nan
2019-05-15T03:32:43Z	597	1200	551.8	8.8	100.0	12.6	1263.3	9.2	nan
2019-05-15T03:52:47Z	593	1200	551.8	8.8	100.0	12.6	1265.5	9.1	nan
2019-05-15T04:13:35Z	578	1200	551.8	8.8	100.0	12.6	1266.5	9.0	nan
2019-05-15T04:33:39Z	557	1200	551.8	8.8	100.0	12.6	1265.9	9.0	nan
2019-05-15T04:53:58Z	560	1200	551.8	8.8	100.0	12.6	1264.5	8.9	nan
2019-05-15T05:14:01Z	581	1200	551.8	8.8	100.0	12.6	1267.8	8.8	nan
2019-05-15T05:34:05Z	547	1200	551.8	8.8	100.0	12.6	1265.2	8.8	nan
