rec_id	datetime	press4	press1	temp1	relhum1	temp_ext	relhum_ext	volt	counts1	nsecs1	N1T_C	N1RH	moder_cph_filt
1	2019-05-14T10:02:00Z	956.86	956.6	11.0	54.7	nan	nan	14.6	4	32	11.7	0.0	nan
2	2019-05-14T10:21:00Z	956.9	956.6	10.8	56.2	nan	100.0	14.5	360	1139	13.4	0.0	1137.8
3	2019-05-14T10:41:00Z	956.95	956.5	10.2	56.3	nan	100.0	14.5	395	1200	13.7	0.0	1185.0
4	2019-05-14T11:01:00Z	956.96	956.5	10.3	56.7	nan	100.0	14.5	362	1200	13.8	0.0	1086.0
5	2019-05-14T11:21:00Z	956.74	956.2	10.5	56.7	nan	100.0	14.1	351	1200	14.0	0.0	1053.0
6	2019-05-14T11:41:00Z	956.47	956.0	10.8	57.2	nan	100.0	14.1	387	1200	14.2	0.0	1161.0
7	2019-05-14T12:01:00Z	956.31	955.7	11.3	56.9	nan	100.0	14.1	379	1200	14.4	0.0	1137.0
8	2019-05-14T12:21:00Z	956.12	955.5	11.8	56.2	nan	100.0	14.1	371	1200	14.8	0.0	1113.0
9	2019-05-14T12:41:00Z	955.98	955.4	11.2	54.4	nan	100.0	14.1	382	1200	14.9	0.0	1146.0
10	2019-05-14T13:01:00Z	956.3	955.9	10.2	53.0	nan	100.0	14.1	388	1200	14.6	0.0	1164.0
11	2019-05-14T13:21:00Z	955.7	955.4	9.1	52.9	nan	100.0	14.2	391	1200	13.6	0.0	1173.0
12	2019-05-14T13:41:00Z	955.45	954.9	9.6	54.0	10.1	78.2	14.1	372	1200	13.1	0.0	1116.0
13	2019-05-14T14:01:00Z	955.15	954.6	11.2	53.3	9.8	55.0	14.1	381	1200	13.7	0.0	1143.0
14	2019-05-14T14:21:00Z	955.21	954.7	10.8	51.6	9.3	70.0	14.1	359	1200	14.1	0.0	1077.0
15	2019-05-14T14:41:00Z	954.96	954.4	11.2	51.8	9.4	64.5	14.1	373	1200	14.2	0.0	1119.0
16	2019-05-14T15:01:00Z	954.72	954.3	11.0	50.9	8.4	68.7	14.1	406	1200	14.3	0.0	1218.0
17	2019-05-14T15:21:00Z	954.39	953.9	10.7	50.6	12.0	44.3	14.1	357	1200	14.2	0.0	1071.0
18	2019-05-14T15:41:00Z	954.14	953.8	11.6	50.4	11.7	40.9	14.1	349	1200	14.6	0.0	1047.0
19	2019-05-14T16:01:00Z	954.29	953.8	12.0	49.5	11.0	40.2	14.1	382	1200	15.1	0.0	1146.0
20	2019-05-14T16:21:00Z	954.88	954.4	11.3	48.0	6.4	68.1	14.1	372	1200	15.2	0.0	1116.0
