rec_id	datetime	press4	press1	temp1	relhum1	temp_ext	relhum_ext	volt	counts1	nsecs1	N1T_C	N1RH	moder_cph_filt
21	2019-05-14T16:41:00Z	954.57	954.2	9.6	47.7	4.8	89.0	14.2	366	1200	14.3	0.0	1098.0
22	2019-05-14T17:01:00Z	954.32	954.0	8.6	48.0	5.3	91.9	14.2	353	1200	13.1	0.0	1059.0
23	2019-05-14T17:21:00Z	954.52	954.1	8.1	48.0	5.2	93.1	14.2	375	1200	12.3	0.0	1125.0
24	2019-05-14T17:41:00Z	954.99	954.6	7.7	47.9	4.9	91.0	13.7	369	1200	11.9	0.0	1107.0
25	2019-05-14T18:01:00Z	954.91	954.4	7.4	47.7	4.5	89.0	13.7	355	1200	11.5	0.0	1065.0
26	2019-05-14T18:21:00Z	954.75	954.3	7.0	47.5	4.1	93.0	13.7	343	1200	11.1	0.0	1029.0
27	2019-05-14T18:41:00Z	954.76	954.4	6.5	47.3	3.3	94.4	13.5	396	1200	10.7	0.0	1188.0
28	2019-05-14T19:01:00Z	954.53	954.3	6.0	47.3	3.3	95.6	13.4	396	1200	10.2	0.0	1188.0
29	2019-05-14T19:21:00Z	954.55	954.2	5.8	47.5	3.5	93.4	13.3	382	1200	9.8	0.0	1146.0
30	2019-05-14T19:41:00Z	954.6	954.2	5.5	47.5	2.4	96.4	13.3	375	1200	9.5	0.0	1125.0
31	2019-05-14T20:01:00Z	954.53	954.2	5.2	47.5	2.9	96.0	13.2	342	1200	9.2	0.0	1026.0
32	2019-05-14T20:21:00Z	954.48	954.1	5.1	47.5	2.9	95.9	13.2	345	1200	9.0	0.0	1035.0
33	2019-05-14T20:41:00Z	954.57	954.2	5.2	47.4	3.2	95.0	13.2	360	1200	9.0	0.0	1080.0
34	2019-05-14T21:01:00Z	954.37	954.1	5.2	47.4	3.5	93.7	13.1	380	1200	8.9	0.0	1140.0
35	2019-05-14T21:21:00Z	954.44	954.1	5.3	47.4	3.6	92.3	13.1	369	1200	9.0	0.0	1107.0
36	2019-05-14T21:41:00Z	954.47	954.2	5.4	47.4	4.0	89.6	13.1	396	1200	9.1	0.0	1188.0
37	2019-05-14T22:01:00Z	954.26	954.0	5.5	47.4	3.9	89.9	13.1	351	1200	9.3	0.0	1053.0
38	2019-05-14T22:21:00Z	954.08	953.9	5.5	47.6	3.9	91.2	13.1	365	1200	9.4	0.0	1095.0
39	2019-05-14T22:41:00Z	954.03	953.8	5.5	47.6	3.7	91.6	13.1	355	1200	9.5	0.0	1065.0
40	2019-05-14T23:01:00Z	953.81	953.6	5.4	47.7	3.0	97.5	13.1	363	1200	9.4	0.0	1089.0
41	2019-05-14T23:21:00Z	953.96	953.6	5.2	47.4	2.9	97.9	13.1	402	1200	9.3	0.0	1206.0
42	2019-05-14T23:41:00Z	953.77	953.4	5.0	47.3	3.0	97.7	13.1	345	1200	9.2	0.0	1035.0
43	2019-05-15T00:01:00Z	953.61	953.3	5.0	47.3	3.2	97.0	13.1	373	1200	9.1	0.0	1119.0
44	2019-05-15T00:21:00Z	953.41	953.1	5.0	47.4	3.2	96.4	13.1	366	1200	9.0	0.0	1098.0
45	2019-05-15T00:41:00Z	953.25	953.0	5.0	47.3	3.1	96.6	13.1	349	1200	9.0	0.0	1047.0
46	2019-05-15T01:01:00Z	953.07	952.7	4.9	47.2	3.2	96.8	13.1	340	1200	9.0	0.0	1020.0
47	2019-05-15T01:21:00Z	952.84	952.5	4.8	47.0	3.0	96.9	13.1	402	1200	9.0	0.0	1206.0
48	2019-05-15T01:41:00Z	952.7	952.4	4.7	46.9	3.1	97.3	13.1	372	1200	8.9	0.0	1116.0
49	2019-05-15T02:01:00Z	952.38	952.2	4.7	46.8	3.2	97.0	13.1	365	1200	8.9	0.0	1095.0
50	2019-05-15T02:21:00Z	952.28	952.1	4.7	46.7	3.2	96.8	13.1	391	1200	8.9	0.0	1173.0
51	2019-05-15T02:41:00Z	952.16	951.9	4.7	46.7	3.3	97.1	13.1	388	1200	8.9	0.0	1164.0
52	2019-05-15T03:01:00Z	951.92	951.8	4.7	46.7	3.3	96.9	13.1	387	1200	8.9	0.0	1161.0
53	2019-05-15T03:21:00Z	951.97	951.8	4.7	46.7	3.2	96.4	13.1	362	1200	9.0	0.0	1086.0
54	2019-05-15T03:41:00Z	951.86	951.7	4.8	46.7	3.2	96.7	13.1	375	1200	9.0	0.0	1125.0
55	2019-05-15T04:01:00Z	951.83	951.7	4.7	46.7	3.2	96.7	13.1	380	1200	9.0	0.0	1140.0
56	2019-05-15T04:21:00Z	951.75	951.6	4.7	46.8	3.2	97.2	13.1	373	1200	9.0	0.0	1119.0
57	2019-05-15T04:41:00Z	951.69	951.6	4.7	46.7	3.3	97.3	13.1	376	1200	9.0	0.0	1128.0
58	2019-05-15T05:01:00Z	951.69	951.5	4.7	46.7	3.6	96.5	13.1	408	1200	9.0	0.0	1224.0
59	2019-05-15T05:21:00Z	951.51	951.4	4.8	46.7	3.6	94.9	13.2	384	1200	9.1	0.0	1152.0
60	2019-05-15T05:41:00Z	951.48	951.4	4.9	46.6	3.6	93.9	13.2	359	1200	9.2	0.0	1077.0
61	2019-05-15T06:01:00Z	951.57	951.4	5.0	46.6	3.8	92.8	13.3	393	1200	9.3	0.0	1179.0
62	2019-05-15T06:21:00Z	951.69	951.5	5.0	46.5	3.9	91.6	13.4	400	1200	9.3	0.0	1200.0
64	2019-05-15T07:01:00Z	951.81	951.6	5.2	46.3	4.0	91.6	13.6	385	1200	9.5	0.0	1155.0
66	2019-05-15T07:41:00Z	951.95	951.8	5.3	46.3	4.2	90.2	13.9	356	1200	9.7	0.0	1068.0
67	2019-05-15T08:01:00Z	951.96	951.8	5.4	46.3	4.2	89.5	14.0	379	1200	9.8	0.0	1137.0
68	2019-05-15T08:21:00Z	951.93	951.8	5.4	46.3	4.3	90.2	14.2	376	1200	9.8	0.0	1128.0
69	2019-05-15T08:41:00Z	952.04	951.9	5.5	46.3	4.1	92.7	14.4	351	1200	9.9	0.0	1053.0
71	2019-05-15T09:21:00Z	951.88	951.7	5.6	46.2	4.5	92.6	14.7	368	1200	10.0	0.0	1104.0
72	2019-05-15T09:41:00Z	951.86	951.7	5.8	46.2	5.2	84.3	14.7	380	1200	10.1	0.0	1140.0
73	2019-05-15T10:01:00Z	951.8	951.6	6.2	46.1	6.0	79.2	14.7	402	1200	10.3	0.0	1206.0
74	2019-05-15T10:21:00Z	951.76	951.5	6.7	46.0	6.4	80.3	14.6	355	1200	10.7	0.0	1065.0
75	2019-05-15T10:41:00Z	951.32	951.4	7.2	45.8	6.8	73.2	14.6	341	1200	11.1	0.0	1023.0
76	2019-05-15T11:01:00Z	951.37	951.2	7.7	45.5	7.4	71.0	14.6	382	1200	11.6	0.0	1146.0
77	2019-05-15T11:21:00Z	951.28	951.1	8.2	45.3	8.5	60.4	14.2	371	1200	12.0	0.0	1113.0
78	2019-05-15T11:41:00Z	951.29	951.1	8.9	45.0	8.3	61.6	14.2	361	1200	12.6	0.0	1083.0
79	2019-05-15T12:01:00Z	951.24	951.1	9.3	44.5	9.3	65.7	14.2	379	1200	13.1	0.0	1137.0
80	2019-05-15T12:21:00Z	951.2	950.9	9.4	44.3	8.3	67.7	14.2	353	1200	13.4	0.0	1059.0
81	2019-05-15T12:41:00Z	951.21	950.9	9.5	44.3	9.1	63.6	14.1	391	1200	13.6	0.0	1173.0
82	2019-05-15T13:01:00Z	951.19	950.9	9.8	44.2	9.7	64.0	14.1	424	1200	13.8	0.0	1272.0
83	2019-05-15T13:21:00Z	951.04	950.8	10.0	44.0	9.5	59.1	14.1	357	1200	13.9	0.0	1071.0
84	2019-05-15T13:41:00Z	950.85	950.6	10.1	43.8	9.8	59.2	14.1	380	1200	14.0	0.0	1140.0
85	2019-05-15T14:01:00Z	950.61	950.5	10.2	43.7	9.7	60.7	14.1	360	1200	14.1	0.0	1080.0
86	2019-05-15T14:21:00Z	950.5	950.4	10.3	43.6	9.1	61.1	14.1	424	1200	14.2	0.0	1272.0
87	2019-05-15T14:41:00Z	950.38	950.3	10.1	43.6	9.1	61.2	14.1	342	1200	14.2	0.0	1026.0
88	2019-05-15T15:01:00Z	950.45	950.2	10.0	43.7	9.5	63.9	14.1	396	1200	14.2	0.0	1188.0
89	2019-05-15T15:21:00Z	950.33	950.2	10.1	43.7	9.5	61.8	14.1	371	1200	14.2	0.0	1113.0
90	2019-05-15T15:41:00Z	950.33	950.2	10.2	43.7	9.2	58.6	14.1	337	1200	14.2	0.0	1011.0
91	2019-05-15T16:01:00Z	950.27	950.1	10.0	43.4	8.7	63.7	14.1	380	1200	14.2	0.0	1140.0
92	2019-05-15T16:21:00Z	950.29	950.0	10.0	43.4	8.8	63.3	14.1	410	1200	14.2	0.0	1230.0
93	2019-05-15T16:41:00Z	950.35	950.1	9.8	43.3	8.3	68.6	14.1	359	1200	14.1	0.0	1077.0
94	2019-05-15T17:01:00Z	950.24	950.0	9.6	43.3	7.8	70.1	14.2	374	1200	14.0	0.0	1122.0
95	2019-05-15T17:21:00Z	950.19	950.0	9.3	43.5	7.5	71.6	14.1	395	1200	13.7	0.0	1185.0
96	2019-05-15T17:41:00Z	950.27	950.1	9.0	43.6	7.1	74.8	13.9	370	1200	13.5	0.0	1110.0
98	2019-05-15T18:21:00Z	950.18	950.1	8.5	43.6	6.4	86.5	13.6	339	1200	13.0	0.0	1017.0
99	2019-05-15T18:41:00Z	950.25	950.1	8.2	43.6	6.0	86.3	13.5	354	1200	12.7	0.0	1062.0
100	2019-05-15T19:01:00Z	950.2	950.1	8.0	43.7	5.9	83.9	13.4	362	1200	12.5	0.0	1086.0
101	2019-05-15T19:21:00Z	950.44	950.2	7.7	43.7	5.5	90.1	13.3	390	1200	12.2	0.0	1170.0
102	2019-05-15T19:41:00Z	950.3	950.2	7.5	43.7	5.4	92.0	13.3	368	1200	12.0	0.0	1104.0
103	2019-05-15T20:01:00Z	950.24	950.1	7.4	44.0	5.2	88.9	13.3	373	1200	11.7	0.0	1119.0
104	2019-05-15T20:21:00Z	949.99	950.0	7.2	44.2	5.1	86.7	13.3	374	1200	11.5	0.0	1122.0
105	2019-05-15T20:41:00Z	949.81	949.8	7.0	44.2	5.0	92.5	13.2	399	1200	11.3	0.0	1197.0
106	2019-05-15T21:01:00Z	949.66	949.7	6.9	44.1	4.8	92.4	13.2	392	1200	11.2	0.0	1176.0
107	2019-05-15T21:21:00Z	949.62	949.7	6.7	44.1	4.6	92.4	13.2	361	1200	11.0	0.0	1083.0
108	2019-05-15T21:41:00Z	949.54	949.6	6.5	44.1	4.4	94.0	13.2	389	1200	10.8	0.0	1167.0
109	2019-05-15T22:01:00Z	949.35	949.4	6.4	44.1	4.4	94.8	13.2	363	1200	10.6	0.0	1089.0
110	2019-05-15T22:21:00Z	949.17	949.2	6.3	44.0	4.3	94.6	13.2	391	1200	10.5	0.0	1173.0
111	2019-05-15T22:41:00Z	949.03	949.0	6.2	44.0	4.0	95.9	13.2	375	1200	10.4	0.0	1125.0
112	2019-05-15T23:01:00Z	948.93	948.8	6.0	44.0	3.6	97.2	13.1	362	1200	10.3	0.0	1086.0
113	2019-05-15T23:21:00Z	948.69	948.7	5.6	43.8	2.9	97.9	13.1	418	1200	10.0	0.0	1254.0
114	2019-05-15T23:41:00Z	948.54	948.4	5.1	43.9	2.2	98.1	13.1	410	1200	9.7	0.0	1230.0
115	2019-05-16T00:01:00Z	948.23	948.1	4.7	44.0	2.0	98.5	13.1	369	1200	9.3	0.0	1107.0
116	2019-05-16T00:21:00Z	947.98	947.9	4.4	44.1	2.1	98.5	13.1	343	1200	8.9	0.0	1029.0
117	2019-05-16T00:41:00Z	947.68	947.7	4.2	44.2	1.9	98.5	13.1	379	1200	8.7	0.0	1137.0
118	2019-05-16T01:01:00Z	947.41	947.4	4.0	44.2	2.0	99.3	13.1	400	1200	8.5	0.0	1200.0
119	2019-05-16T01:21:00Z	947.21	947.3	3.9	44.2	1.5	98.8	13.1	393	1200	8.3	0.0	1179.0
120	2019-05-16T01:41:00Z	947.07	947.1	3.7	44.2	1.6	99.4	13.1	384	1200	8.1	0.0	1152.0
121	2019-05-16T02:01:00Z	946.81	946.9	3.4	44.0	1.3	99.5	13.1	395	1200	7.8	0.0	1185.0
122	2019-05-16T02:21:00Z	946.61	946.7	3.2	44.1	1.4	99.6	13.1	380	1200	7.6	0.0	1140.0
123	2019-05-16T02:41:00Z	946.13	946.3	3.1	44.1	1.0	99.1	13.1	366	1200	7.4	0.0	1098.0
124	2019-05-16T03:01:00Z	945.9	946.0	2.7	43.9	nan	99.4	13.1	381	1200	7.2	0.0	1143.0
125	2019-05-16T03:21:00Z	945.94	945.9	2.3	44.0	0.4	99.8	13.1	402	1200	6.8	0.0	1206.0
126	2019-05-16T03:41:00Z	945.89	945.9	2.4	44.3	0.8	99.8	13.1	402	1200	6.6	0.0	1206.0
127	2019-05-16T04:01:00Z	945.61	945.7	2.6	44.5	1.3	99.6	13.1	397	1200	6.7	0.0	1191.0
128	2019-05-16T04:21:00Z	945.44	945.6	2.9	44.5	2.1	99.8	13.1	383	1200	6.8	0.0	1149.0
129	2019-05-16T04:41:00Z	945.45	945.5	3.3	44.8	3.4	99.5	13.3	419	1200	7.1	0.0	1257.0
130	2019-05-16T05:01:00Z	945.65	945.6	4.0	44.9	4.2	98.6	13.4	393	1200	7.6	0.0	1179.0
132	2019-05-16T05:41:00Z	945.29	945.6	5.0	44.9	4.7	92.9	13.7	366	1200	8.7	0.0	1098.0
133	2019-05-16T06:01:00Z	945.46	945.6	5.3	44.9	4.8	93.9	13.9	424	1200	9.2	0.0	1272.0
134	2019-05-16T06:21:00Z	945.53	945.6	5.6	45.0	5.1	90.6	14.2	401	1200	9.6	0.0	1203.0
135	2019-05-16T06:41:00Z	945.53	945.5	5.9	45.1	5.3	88.9	14.7	372	1200	10.0	0.0	1116.0
136	2019-05-16T07:01:00Z	945.43	945.5	6.2	45.0	5.3	89.3	14.7	380	1200	10.3	0.0	1140.0
137	2019-05-16T07:21:00Z	945.45	945.4	6.4	44.9	5.8	87.9	14.7	404	1200	10.5	0.0	1212.0
138	2019-05-16T07:41:00Z	945.21	945.2	6.8	45.0	6.4	85.0	14.6	424	1200	10.8	0.0	1272.0
139	2019-05-16T08:01:00Z	945.16	945.2	7.3	44.8	7.3	80.8	14.6	396	1200	11.2	0.0	1188.0
140	2019-05-16T08:21:00Z	945.17	945.1	7.8	44.5	7.8	78.0	14.6	376	1200	11.7	0.0	1128.0
141	2019-05-16T08:41:00Z	944.89	945.0	8.1	44.2	7.2	79.5	14.6	411	1199	12.0	0.0	1234.0
142	2019-05-16T09:01:00Z	944.85	944.8	8.4	44.0	8.1	72.9	14.6	366	1200	12.4	0.0	1098.0
143	2019-05-16T09:21:00Z	944.77	944.6	9.0	43.8	10.4	66.9	14.2	414	1200	12.8	0.0	1242.0
144	2019-05-16T09:41:00Z	944.6	944.5	9.9	43.5	10.7	64.8	14.1	403	1200	13.3	0.0	1209.0
145	2019-05-16T10:01:00Z	944.3	944.4	10.6	43.0	9.7	72.6	14.1	390	1200	14.0	0.0	1170.0
146	2019-05-16T10:21:00Z	944.3	944.3	10.7	42.4	9.2	72.9	14.1	385	1200	14.4	0.0	1155.0
147	2019-05-16T10:41:00Z	944.19	944.1	10.8	42.5	9.9	67.0	14.1	423	1200	14.7	0.0	1269.0
148	2019-05-16T11:01:00Z	944.27	944.1	11.2	42.5	10.7	62.7	14.1	353	1200	14.9	0.0	1059.0
149	2019-05-16T11:21:00Z	943.94	943.8	12.0	42.2	13.6	54.6	14.1	379	1200	15.4	0.0	1137.0
150	2019-05-16T11:41:00Z	944.0	943.7	13.0	41.5	11.1	66.9	14.1	386	1200	16.1	0.0	1158.0
151	2019-05-16T12:01:00Z	943.9	943.6	13.0	41.1	11.5	66.9	14.1	415	1200	16.5	0.0	1245.0
152	2019-05-16T12:21:00Z	943.74	943.5	13.2	41.1	11.6	68.1	14.1	391	1200	16.8	0.0	1173.0
153	2019-05-16T12:41:00Z	943.51	943.4	13.8	40.9	11.8	67.4	14.0	387	1200	17.2	0.0	1161.0
154	2019-05-16T13:01:00Z	943.41	943.2	13.6	40.8	11.3	66.2	14.1	473	1200	17.3	0.0	nan
155	2019-05-16T13:21:00Z	943.11	943.0	14.0	41.0	13.0	55.3	14.0	421	1200	17.4	0.0	1263.0
156	2019-05-16T13:41:00Z	943.02	942.8	15.2	48.8	12.9	63.9	14.0	408	1200	17.9	0.0	1224.0
157	2019-05-16T14:01:00Z	942.83	942.7	14.8	46.8	12.0	63.8	14.0	392	1200	18.3	0.0	1176.0
158	2019-05-16T14:21:00Z	942.71	942.5	14.3	45.6	11.9	65.3	14.0	437	1200	18.2	0.0	1311.0
159	2019-05-16T14:41:00Z	942.66	942.6	13.7	44.9	11.2	68.7	14.0	418	1200	18.0	0.0	1254.0
160	2019-05-16T15:01:00Z	942.74	942.5	13.3	44.6	10.9	70.6	14.0	384	1200	17.6	0.0	1152.0
161	2019-05-16T15:21:00Z	942.83	942.6	12.9	44.5	10.9	71.7	14.1	412	1200	17.3	0.0	1236.0
162	2019-05-16T15:41:00Z	942.92	942.6	12.7	44.4	10.8	72.7	14.1	424	1200	17.0	0.0	1272.0
163	2019-05-16T16:01:00Z	942.72	942.4	12.6	44.4	10.6	72.5	14.1	388	1200	16.9	0.0	1164.0
164	2019-05-16T16:21:00Z	942.63	942.4	12.4	44.3	10.3	75.9	14.1	417	1200	16.7	0.0	1251.0
165	2019-05-16T16:41:00Z	942.46	942.3	12.2	44.3	10.1	77.8	14.1	356	1200	16.5	0.0	1068.0
166	2019-05-16T17:01:00Z	942.46	942.3	12.0	44.4	9.9	75.8	14.1	389	1200	16.2	0.0	1167.0
167	2019-05-16T17:21:00Z	942.58	942.4	11.8	44.4	9.6	78.7	14.0	374	1200	16.0	0.0	1122.0
168	2019-05-16T17:41:00Z	942.5	942.4	11.6	44.3	9.4	79.7	13.9	398	1200	15.8	0.0	1194.0
169	2019-05-16T18:01:00Z	942.43	942.3	11.4	44.2	9.3	80.0	13.9	390	1200	15.5	0.0	1170.0
170	2019-05-16T18:21:00Z	942.52	942.4	11.1	44.0	8.6	84.9	13.7	410	1200	15.3	0.0	1230.0
171	2019-05-16T18:41:00Z	942.41	942.4	10.5	43.7	7.4	89.2	13.6	392	1200	14.9	0.0	1176.0
172	2019-05-16T19:01:00Z	942.38	942.4	9.7	43.6	6.8	91.9	13.5	426	1200	14.4	0.0	1278.0
173	2019-05-16T19:21:00Z	942.48	942.4	9.0	43.6	5.8	95.2	13.4	407	1200	13.7	0.0	1221.0
174	2019-05-16T19:41:00Z	942.62	942.4	8.6	43.8	6.2	93.6	13.3	385	1200	13.1	0.0	1155.0
175	2019-05-16T20:01:00Z	942.68	942.5	8.5	43.9	6.3	95.0	13.3	397	1200	12.8	0.0	1191.0
176	2019-05-16T20:21:00Z	942.43	942.3	8.5	44.0	6.6	92.6	13.3	384	1200	12.5	0.0	1152.0
177	2019-05-16T20:41:00Z	942.31	942.2	8.5	43.9	6.7	93.0	13.3	387	1200	12.4	0.0	1161.0
178	2019-05-16T21:01:00Z	942.31	942.1	8.5	43.8	6.7	94.2	13.2	417	1200	12.4	0.0	1251.0
179	2019-05-16T21:21:00Z	942.21	942.0	8.4	43.7	6.2	96.5	13.2	396	1200	12.3	0.0	1188.0
180	2019-05-16T21:41:00Z	941.93	941.8	8.0	43.5	5.7	97.8	13.2	387	1200	12.2	0.0	1161.0
181	2019-05-16T22:01:00Z	941.74	941.7	7.4	43.4	4.7	98.6	13.2	427	1200	11.8	0.0	1281.0
182	2019-05-16T22:21:00Z	941.62	941.6	6.7	43.4	2.9	98.2	13.2	437	1200	11.3	0.0	1311.0
183	2019-05-16T22:41:00Z	941.41	941.5	6.0	43.6	3.6	99.3	13.2	385	1200	10.6	0.0	1155.0
184	2019-05-16T23:01:00Z	941.24	941.3	5.4	43.7	1.9	99.1	13.2	374	1200	10.0	0.0	1122.0
185	2019-05-16T23:21:00Z	940.95	941.1	4.8	43.7	1.8	99.4	13.2	402	1200	9.4	0.0	1206.0
186	2019-05-16T23:41:00Z	940.78	940.9	4.4	43.9	2.2	99.7	13.2	428	1200	8.8	0.0	1284.0
187	2019-05-17T00:01:00Z	940.55	940.8	4.1	44.0	1.4	98.9	13.1	415	1200	8.4	0.0	1245.0
188	2019-05-17T00:21:00Z	940.28	940.6	3.8	43.9	0.9	99.7	13.1	368	1200	8.1	0.0	1104.0
189	2019-05-17T00:41:00Z	940.04	940.3	3.6	44.0	1.1	99.6	13.1	398	1200	7.7	0.0	1194.0
190	2019-05-17T01:01:00Z	939.63	940.1	3.3	43.9	0.2	99.4	13.1	404	1200	7.5	0.0	1212.0
191	2019-05-17T01:21:00Z	939.73	940.0	2.9	43.8	0.9	100.0	13.1	406	1200	7.1	0.0	1218.0
192	2019-05-17T01:41:00Z	939.7	939.8	2.6	43.9	nan	99.8	13.1	427	1200	6.8	0.0	1281.0
193	2019-05-17T02:01:00Z	939.55	939.7	2.3	44.0	0.1	100.0	13.1	417	1200	6.5	0.0	1251.0
194	2019-05-17T02:21:00Z	939.48	939.6	2.2	44.0	nan	99.4	13.1	392	1200	6.3	0.0	1176.0
195	2019-05-17T02:41:00Z	939.39	939.5	1.9	43.9	nan	100.0	13.1	422	1200	6.0	0.0	1266.0
196	2019-05-17T03:01:00Z	939.25	939.5	1.7	44.0	nan	100.0	13.1	446	1200	5.8	0.0	1338.0
197	2019-05-17T03:21:00Z	939.08	939.3	1.6	44.1	nan	100.0	13.1	402	1200	5.6	0.0	1206.0
198	2019-05-17T03:41:00Z	939.05	939.2	1.4	44.0	nan	99.5	13.1	392	1200	5.5	0.0	1176.0
199	2019-05-17T04:01:00Z	938.9	939.1	1.2	44.0	nan	100.0	13.1	422	1200	5.3	0.0	1266.0
200	2019-05-17T04:21:00Z	939.02	939.3	1.1	44.2	nan	99.8	13.2	432	1200	5.2	0.0	1296.0
201	2019-05-17T04:41:00Z	939.0	939.3	1.4	44.5	1.0	99.7	13.4	398	1200	5.2	0.0	1194.0
202	2019-05-17T05:01:00Z	939.15	939.4	1.9	44.8	2.1	99.5	13.6	420	1200	5.6	0.0	1260.0
203	2019-05-17T05:21:00Z	938.77	939.2	2.7	44.9	3.7	99.3	14.1	426	1200	6.2	0.0	1278.0
204	2019-05-17T05:41:00Z	938.75	939.0	3.8	44.8	4.9	98.3	14.7	386	1200	7.0	0.0	1158.0
205	2019-05-17T06:01:00Z	938.85	939.0	4.9	44.3	5.4	98.1	14.7	392	1200	8.0	0.0	1176.0
206	2019-05-17T06:21:00Z	938.62	938.9	5.7	43.8	6.0	97.6	14.7	448	1200	8.9	0.0	1344.0
207	2019-05-17T06:41:00Z	938.73	938.8	6.4	43.4	6.7	95.3	14.6	378	1200	9.7	0.0	1134.0
208	2019-05-17T07:01:00Z	938.76	938.8	7.0	43.1	7.3	94.2	14.6	431	1200	10.7	0.0	1293.0
209	2019-05-17T07:21:00Z	938.62	938.6	7.6	43.0	8.6	88.5	14.6	429	1200	11.6	0.0	1287.0
210	2019-05-17T07:41:00Z	938.43	938.5	8.7	43.2	10.6	81.9	14.2	454	1200	12.8	0.0	1362.0
211	2019-05-17T08:01:00Z	938.32	938.3	10.1	42.7	11.6	73.4	14.1	395	1200	14.2	0.0	1185.0
212	2019-05-17T08:21:00Z	938.29	938.2	11.4	42.2	13.2	71.9	14.1	432	1200	15.7	0.0	1296.0
213	2019-05-17T08:41:00Z	938.01	937.9	12.5	41.6	13.9	64.2	14.1	409	1200	17.0	0.0	1227.0
215	2019-05-17T09:21:00Z	937.84	937.7	14.3	40.4	15.6	54.8	14.0	460	1200	19.0	0.0	1380.0
216	2019-05-17T09:41:00Z	937.65	937.5	15.0	40.2	16.9	51.7	14.0	391	1200	19.7	0.0	1173.0
217	2019-05-17T10:01:00Z	937.3	937.2	15.7	39.9	18.1	52.7	14.0	402	1200	20.2	0.0	1206.0
218	2019-05-17T10:21:00Z	937.06	937.1	16.5	39.5	17.8	53.5	13.9	381	1200	20.9	0.0	1143.0
219	2019-05-17T10:41:00Z	937.03	936.9	17.2	39.2	18.8	49.0	13.9	416	1200	21.5	0.0	1248.0
220	2019-05-17T11:01:00Z	936.88	936.8	17.9	39.0	19.4	51.1	13.9	386	1200	22.1	0.0	1158.0
221	2019-05-17T11:21:00Z	936.89	936.7	18.5	38.7	19.1	50.5	13.9	379	1200	22.7	0.0	1137.0
222	2019-05-17T11:41:00Z	936.86	936.6	19.2	38.3	20.0	44.1	13.9	431	1200	23.3	0.0	1293.0
223	2019-05-17T12:01:00Z	936.83	936.6	19.7	38.0	19.0	42.4	13.8	464	1200	23.8	0.0	1392.0
224	2019-05-17T12:21:00Z	936.72	936.5	19.8	37.7	19.7	45.5	13.8	440	1200	24.1	0.0	1320.0
225	2019-05-17T12:41:00Z	936.58	936.5	20.3	37.8	21.0	38.6	13.8	416	1200	24.3	0.0	1248.0
226	2019-05-17T13:01:00Z	936.51	936.4	21.0	37.3	19.6	45.0	13.8	401	1199	24.7	0.0	1204.0
