datetime	counts1	nsecs1	press1	temp_ext	relhum_ext	volt	hv	temp_ncat	moder_cph_filt
2019-06-12T19:00:03Z	489.1	1200	946.1	16.6	72.7	12.1	1200.0	24.93	nan
2019-06-12T19:20:09Z	537.2	1200	946.1	15.7	77.2	12.1	1200.0	25.06	nan
2019-06-12T19:40:18Z	486.3	1200	946.3	14.6	84.2	12.1	1200.0	24.93	nan
2019-06-12T20:00:27Z	523.4	1200	946.3	14.9	85.4	12.1	1200.0	24.75	nan
2019-06-12T20:20:30Z	516.5	1200	946.6	14.2	88.6	12.1	1201.5	24.56	nan
2019-06-12T20:40:32Z	519.6	1200	946.9	13.1	92.4	12.1	1200.0	24.31	nan
2019-06-12T21:00:48Z	492.7	1200	947.0	12.5	95.5	12.1	1200.0	24.06	nan
2019-06-12T21:20:57Z	570.8	1200	947.2	12.6	95.6	12.1	1200.0	23.78	nan
2019-06-12T21:41:03Z	510.9	1200	947.5	12.8	95.7	12.1	1200.0	23.43	nan
2019-06-12T22:01:05Z	478.0	1200	947.8	13.0	95.6	12.1	1200.0	23.12	nan
2019-06-12T22:21:08Z	527.1	1200	947.8	13.1	94.8	12.1	1200.0	22.81	nan
2019-06-12T22:41:20Z	536.3	1200	947.7	13.2	96.2	12.1	1200.0	22.5	nan
2019-06-12T23:01:32Z	503.4	1200	947.7	13.2	95.6	12.1	1200.0	22.25	nan
2019-06-12T23:21:35Z	522.5	1200	948.0	13.3	95.4	12.1	1201.5	21.96	nan
2019-06-12T23:41:36Z	478.6	1200	948.1	13.4	96.4	12.1	1200.0	21.68	nan
2019-06-13T00:01:42Z	481.7	1200	948.1	13.3	96.9	12.1	1200.0	21.5	nan
2019-06-13T00:21:53Z	486.8	1200	948.3	13.2	96.8	12.1	1200.0	21.25	nan
2019-06-13T00:41:54Z	434.9	1200	948.4	13.3	96.7	12.1	1200.0	21.03	nan
2019-06-13T01:02:04Z	462.0	1200	948.2	13.2	97.7	12.1	1200.0	20.87	nan
2019-06-13T01:22:05Z	526.1	1200	948.2	13.2	98.0	12.1	1200.0	20.81	nan
2019-06-13T01:42:19Z	534.2	1200	948.3	13.0	98.3	12.1	1200.0	20.5	nan
2019-06-13T02:02:20Z	495.3	1200	948.2	12.7	98.9	12.1	1200.0	20.28	nan
2019-06-13T02:22:22Z	476.4	1200	948.3	12.6	99.5	12.1	1200.0	20.09	nan
2019-06-13T02:42:27Z	522.5	1200	948.3	12.7	99.9	12.1	1200.0	19.91	nan
2019-06-13T03:02:42Z	515.6	1200	948.2	12.7	99.8	12.1	1200.0	19.75	nan
2019-06-13T03:22:58Z	503.8	1200	948.2	12.7	99.7	12.1	1200.0	19.59	nan
2019-06-13T03:43:02Z	510.9	1200	948.4	12.7	100.0	12.1	1200.0	19.41	nan
2019-06-13T04:03:18Z	518.0	1200	948.4	12.7	100.0	12.1	1200.0	19.28	nan
2019-06-13T04:23:24Z	478.1	1200	948.3	12.6	100.0	12.1	1200.0	19.09	nan
2019-06-13T04:43:26Z	450.2	1200	948.3	12.7	100.0	12.1	1200.0	18.96	nan
2019-06-13T05:03:43Z	525.3	1200	948.5	12.6	100.0	12.1	1200.0	18.84	nan
2019-06-13T05:23:49Z	519.4	1200	948.6	12.7	100.0	12.1	1200.0	18.71	nan
2019-06-13T05:44:03Z	527.5	1200	948.8	12.7	99.9	12.1	1200.0	18.59	nan
