datetime	counts1	nsecs1	press1	temp_ext	relhum_ext	volt	hv	temp_ncat	moder_cph_filt
2019-06-03T16:00:04Z	898	1200	946.3	30.8	42.8	10.6	1165.0	30.69	nan
2019-06-03T16:20:05Z	567	1200	946.3	30.8	42.8	10.6	1165.0	30.69	nan
2019-06-03T16:40:10Z	979	1200	946.3	30.8	42.8	10.6	1165.0	30.69	nan
2019-06-03T17:00:18Z	916	1200	946.3	30.8	42.8	10.6	1165.0	30.69	nan
2019-06-03T17:20:22Z	843	1200	946.3	30.8	42.8	10.6	1165.0	30.69	nan
2019-06-03T17:40:26Z	297	1200	946.2	31.6	40.5	10.6	1165.0	30.96	nan
2019-06-03T18:14:25Z	1026	1200	946.0	31.6	39.8	9.2	1165.0	31.24	nan
2019-06-03T18:34:27Z	771	1200	945.9	31.8	38.7	10.6	1165.0	31.93	nan
2019-06-03T18:55:48Z	868	1200	945.9	31.3	39.3	10.6	1165.0	32.49	nan
2019-06-03T19:15:50Z	994	1200	945.8	30.6	39.1	8.4	1165.0	32.96	nan
2019-06-03T19:35:55Z	891	1200	945.8	30.6	39.1	8.4	1165.0	32.96	nan
2019-06-03T19:56:02Z	931	1200	945.7	30.9	40.2	10.7	1165.0	33.36	nan
2019-06-03T20:16:09Z	631	1200	945.6	30.2	45.0	10.6	1165.0	33.58	nan
2019-06-03T20:38:04Z	25	1200	945.6	30.5	45.9	6.3	1162.0	33.5	nan
2019-06-03T21:14:41Z	948	1200	946.2	23.0	100.0	9.2	1164.0	33.37	nan
2019-06-03T21:34:43Z	969	1200	947.2	22.5	100.0	10.6	1162.0	33.05	nan
2019-06-03T21:54:48Z	888	1200	947.9	21.1	100.0	10.6	1160.5	32.78	nan
2019-06-03T22:14:52Z	877	1200	948.9	20.4	100.0	10.6	1163.5	32.43	nan
2019-06-03T22:34:53Z	867	1200	948.9	20.4	100.0	10.6	1163.5	32.43	nan
2019-06-03T22:54:59Z	872	1200	948.9	20.4	100.0	10.6	1165.0	32.0	nan
2019-06-03T23:15:01Z	920	1200	949.4	20.0	100.0	10.6	1163.5	31.43	nan
2019-06-03T23:35:08Z	903	1200	949.7	20.2	100.0	10.6	1165.0	30.92	nan
2019-06-03T23:55:09Z	230	1200	949.8	19.6	100.0	10.6	1165.0	30.46	nan
2019-06-04T09:53:16Z	604	1200	950.0	17.5	100.0	10.2	1164.1	28.32	nan
2019-06-04T10:13:21Z	829	1200	950.0	17.5	100.0	10.2	1164.1	28.32	nan
2019-06-04T10:33:30Z	830	1200	950.0	17.5	100.0	10.2	1164.1	28.32	nan
2019-06-04T10:53:38Z	824	1200	950.0	17.5	100.0	10.2	1164.1	28.32	nan
2019-06-04T11:13:39Z	856	1200	950.0	17.5	100.0	10.2	1164.1	28.32	nan
2019-06-04T11:33:46Z	912	1200	950.0	17.5	100.0	10.2	1164.1	28.32	nan
2019-06-04T11:53:53Z	814	1200	945.8	23.4	100.0	10.5	1163.0	20.62	nan
2019-06-04T12:14:07Z	725	1200	945.7	23.8	100.0	10.6	1166.5	21.09	nan
2019-06-04T12:34:16Z	904	1200	945.6	24.3	100.0	10.6	1163.5	21.49	nan
2019-06-04T12:54:18Z	841	1200	945.4	24.8	100.0	10.5	1162.0	21.89	nan
2019-06-04T13:14:23Z	937	1200	945.3	25.2	100.0	10.6	1163.5	22.31	nan
2019-06-04T13:34:30Z	872	1200	945.2	25.4	100.0	10.5	1163.5	22.64	nan
2019-06-04T13:54:37Z	870	1200	945.0	26.0	100.0	10.6	1163.5	23.06	nan
2019-06-04T14:14:41Z	906	1200	944.9	26.3	100.0	6.1	1165.0	23.3	nan
2019-06-04T14:34:48Z	961	1200	944.6	27.1	100.0	10.5	1165.0	23.87	nan
2019-06-04T14:54:51Z	947	1200	944.3	27.6	100.0	10.6	1165.0	24.39	nan
2019-06-04T15:14:52Z	894	1200	944.1	27.4	100.0	10.5	1165.0	24.87	nan
2019-06-04T15:34:55Z	873	1200	943.9	27.4	99.9	10.6	1163.5	25.34	nan
2019-06-04T15:54:58Z	913	1200	943.4	27.6	100.0	10.5	1165.0	25.74	nan
2019-06-04T16:15:04Z	955	1200	943.3	28.1	94.2	10.6	1165.0	26.14	nan
2019-06-04T16:35:09Z	927	1200	943.0	27.9	92.6	10.5	1165.0	26.53	nan
2019-06-04T16:55:11Z	957	1200	942.9	28.2	86.1	10.5	1165.0	26.92	nan
2019-06-04T17:15:16Z	979	1200	942.7	28.3	85.4	10.5	1165.0	27.28	nan
2019-06-04T17:35:22Z	963	1200	942.5	28.3	76.7	10.5	1165.0	27.64	nan
2019-06-04T17:55:30Z	951	1200	942.3	28.5	73.8	10.6	1165.0	27.99	nan
2019-06-04T18:15:38Z	973	1200	942.3	28.4	70.3	10.5	1165.0	28.34	nan
2019-06-04T18:35:46Z	984	1200	942.1	28.4	64.1	10.5	1165.0	28.64	nan
2019-06-04T18:55:53Z	949	1200	941.9	28.5	63.9	10.5	1165.0	28.96	nan
2019-06-04T19:16:03Z	1004	1200	941.7	28.5	66.5	10.5	1165.0	29.24	nan
2019-06-04T19:36:09Z	999	1200	941.6	28.3	68.2	10.5	1165.0	29.53	nan
2019-06-04T19:56:17Z	1042	1200	941.5	27.9	73.6	10.5	1165.0	29.81	nan
2019-06-04T20:16:24Z	1003	1200	941.5	27.9	74.2	10.5	1165.0	30.06	nan
2019-06-04T20:36:33Z	935	1200	941.5	27.8	80.1	10.5	1165.0	30.24	nan
2019-06-04T20:56:42Z	1016	1200	941.4	27.2	86.8	10.5	1165.0	30.44	nan
2019-06-04T21:16:44Z	979	1200	941.4	26.8	88.8	10.5	1165.0	30.58	nan
2019-06-04T21:36:55Z	970	1200	941.4	26.4	97.6	10.5	1165.0	30.71	nan
2019-06-04T21:56:56Z	1032	1200	941.5	25.2	100.0	10.5	1165.0	30.8	nan
2019-06-04T22:16:57Z	1010	1200	941.5	22.9	100.0	10.5	1165.0	30.9	nan
2019-06-04T22:37:08Z	986	1200	941.4	21.1	100.0	10.5	1165.0	30.87	nan
2019-06-04T22:57:16Z	973	1200	941.5	20.0	100.0	10.5	1165.0	30.77	nan
2019-06-04T23:17:18Z	923	1200	941.5	19.4	100.0	10.5	1165.0	30.58	nan
2019-06-04T23:37:27Z	929	1200	941.6	19.1	100.0	10.5	1165.0	30.37	nan
